"id","week_ending","hscp","age_group","age_group_qf","sex","sex_qf","sas_incidents","average20182019","percent_variation"
10267,20200913,"S37000024","65 - 74","","All","d",49,48,2.1
10268,20200913,"S37000024","75 - 84","","All","d",73,73,0
10269,20200913,"S37000024","85 and over","","All","d",50,53,-5.7
10270,20200913,"S37000024","All ages","d","All","d",332,344,-3.5
10271,20200913,"S37000024","All ages","d","Female","",178,182.5,-2.5
10272,20200913,"S37000024","All ages","d","Male","",154,161.5,-4.6
10273,20200913,"S37000025","5 - 14","","All","d",10,6.5,53.8
10274,20200913,"S37000025","15 - 44","","All","d",39,50.5,-22.8
10275,20200913,"S37000025","45 - 64","","All","d",57,48.5,17.5
10276,20200913,"S37000025","65 - 74","","All","d",44,43.5,1.1
10277,20200913,"S37000025","75 - 84","","All","d",43,53.5,-19.6
10278,20200913,"S37000025","85 and over","","All","d",45,53.5,-15.9
10279,20200913,"S37000025","All ages","d","All","d",241,261,-7.7
10280,20200913,"S37000025","All ages","d","Female","",139,141,-1.4
10281,20200913,"S37000025","All ages","d","Male","",102,120,-15
10282,20200913,"S37000026","15 - 44","","All","d",10,4.5,122.2
10283,20200913,"S37000026","45 - 64","","All","d",9,11,-18.2
10284,20200913,"S37000026","75 - 84","","All","d",11,6,83.3
10285,20200913,"S37000026","85 and over","","All","d",9,3,200
10286,20200913,"S37000026","All ages","d","All","d",45,31,45.2
10287,20200913,"S37000026","All ages","d","Female","",17,11,54.5
10288,20200913,"S37000026","All ages","d","Male","",28,20,40
10289,20200913,"S37000027","Under 5","","All","d",8,4,100
10290,20200913,"S37000027","15 - 44","","All","d",41,53,-22.6
10291,20200913,"S37000027","45 - 64","","All","d",60,55,9.1
10292,20200913,"S37000027","65 - 74","","All","d",51,41.5,22.9
10293,20200913,"S37000027","75 - 84","","All","d",65,58.5,11.1
10294,20200913,"S37000027","85 and over","","All","d",46,50.5,-8.9
10295,20200913,"S37000027","All ages","d","All","d",273,268,1.9
10296,20200913,"S37000027","All ages","d","Female","",141,136,3.7
10297,20200913,"S37000027","All ages","d","Male","",132,132,0
10298,20200913,"S37000028","Under 5","","All","d",14,24.5,-42.9
10299,20200913,"S37000028","5 - 14","","All","d",8,12.5,-36
