"id","date","hb","hb_name","daily_positive","cumulative_positive","crude_rate_positive","crude_rate7day_positive","daily_deaths","cumulative_deaths","crude_rate_deaths","daily_negative","cumulative_negative","crude_rate_negative","total_tests","positive_tests","positive_percentage","positive_percentage7day","total_pillar1","total_pillar2","hospital_admissions","hospital_admissions_qf","icu_admissions","icu_admissions_qf","positive_pillar1","positive_pillar2"
3051,20200918,"S92000003","Scotland",269,24281,444.218807171606,28.6864251738017,2,2563,46.8898646176363,3458,518277,9481.83315038419,13006,301,2.31431646932185,1.74150455852957,5351,7655,14,"",3,"",30,271
3052,20200919,"S08000015","NHS Ayrshire and Arran",4,1536,417.402646811055,14.4025652871002,0,175,47.5556400989157,139,32652,8873.06720291312,499,4,0.801603206412826,0.867428075755385,322,177,NA,":",NA,":",1,3
3053,20200919,"S08000016","NHS Borders",0,413,358.38250607428,14.7518222839292,0,39,33.8424158278376,53,10561,9164.35265532801,156,3,1.92307692307692,2.16962524654832,72,84,NA,":",NA,":",1,2
3054,20200919,"S08000017","NHS Dumfries and Galloway",1,353,238.047069930542,12.8127318092926,0,40,26.9741722300897,90,14724,9929.19279789602,200,3,1.5,0.880733944954128,155,45,NA,":",NA,":",3,0
3055,20200919,"S08000019","NHS Forth Valley",14,1306,426.895041349328,21.9004347399732,0,135,44.1277416402445,128,27815,9091.94913869186,443,14,3.16027088036117,1.11195734958111,222,221,NA,":",NA,":",0,14
3056,20200919,"S08000020","NHS Grampian",14,2077,354.709247715823,13.8331483220903,0,156,26.6416189906925,262,59738,10202.0322773461,663,15,2.26244343891403,0.867311334861928,309,354,NA,":",NA,":",1,14
3057,20200919,"S08000022","NHS Highland",2,567,176.712584928006,17.7647572149847,0,65,20.2580564732282,130,29577,9218.03902013339,323,2,0.619195046439629,1.01853397896143,159,164,NA,":",NA,":",1,1
3058,20200919,"S08000024","NHS Lothian",40,3923,429.922519698846,32.0003506887747,0,490,53.6992186215739,387,81231,8902.12495479402,1046,41,3.91969407265774,2.28171163048755,355,691,NA,":",NA,":",2,39
3059,20200919,"S08000025","NHS Orkney",0,20,89.2857142857143,8.92857142857143,0,1,4.46428571428571,8,1664,7428.57142857143,14,0,0,0.615384615384615,13,1,NA,":",NA,":",0,0
3060,20200919,"S08000026","NHS Shetland",0,60,262.352426759948,13.1176213379974,0,5,21.8627022299956,16,2625,11477.9186707477,20,0,0,0.501672240802676,16,4,NA,":",NA,":",0,0
