year,quarter,week_ending,hb,age_group,sex,admission_type,number_admissions,average20182019,percent_variation
2020,2,2020-05-17,S08000016,Under 5,All,All,5,23.5,-78.7
2020,2,2020-05-17,S08000017,Under 5,All,All,10,33,-69.7
2020,2,2020-05-17,S08000019,Under 5,All,All,31,78,-60.3
2020,2,2020-05-17,S08000020,Under 5,All,All,39,101.5,-61.6
2020,2,2020-05-17,S08000022,Under 5,All,All,29,53,-45.3
2020,2,2020-05-17,S08000024,Under 5,All,All,58,138,-58
2020,2,2020-05-17,S08000029,Under 5,All,All,33,58,-43.1
2020,2,2020-05-17,S08000030,Under 5,All,All,35,84,-58.3
2020,2,2020-05-17,S08000031,Under 5,All,All,163,257,-36.6
2020,2,2020-05-17,S08000032,Under 5,All,All,131,172.5,-24.1
2020,2,2020-05-17,S92000003,Under 5,All,All,584,1095,-46.7
2020,2,2020-05-24,S08000015,Under 5,All,All,40,87.5,-54.3
2020,2,2020-05-24,S08000016,Under 5,All,All,11,16.5,-33.3
2020,2,2020-05-24,S08000017,Under 5,All,All,21,24,-12.5
2020,2,2020-05-24,S08000019,Under 5,All,All,30,75,-60
2020,2,2020-05-24,S08000020,Under 5,All,All,46,83,-44.6
2020,2,2020-05-24,S08000022,Under 5,All,All,26,48.5,-46.4
2020,2,2020-05-24,S08000024,Under 5,All,All,63,145.5,-56.7
2020,2,2020-05-24,S08000029,Under 5,All,All,23,59,-61
2020,2,2020-05-24,S08000030,Under 5,All,All,45,69.5,-35.3
2020,2,2020-05-24,S08000031,Under 5,All,All,154,266,-42.1
2020,2,2020-05-24,S08000032,Under 5,All,All,109,177.5,-38.6
2020,2,2020-05-24,S92000003,Under 5,All,All,568,1060,-46.4
2020,2,2020-05-31,S08000015,Under 5,All,All,44,87.5,-49.7
2020,2,2020-05-31,S08000016,Under 5,All,All,13,27.5,-52.7
2020,2,2020-05-31,S08000017,Under 5,All,All,19,24,-20.8
2020,2,2020-05-31,S08000019,Under 5,All,All,27,92,-70.7
2020,2,2020-05-31,S08000020,Under 5,All,All,50,82.5,-39.4
2020,2,2020-05-31,S08000022,Under 5,All,All,20,52.5,-61.9
2020,2,2020-06-14,S08000020,Under 5,All,All,46,82,-43.9
2020,2,2020-06-14,S08000022,Under 5,All,All,19,36,-47.2
2020,2,2020-05-31,S08000030,Under 5,All,All,43,74,-41.9
2020,2,2020-05-31,S08000031,Under 5,All,All,186,240.5,-22.7
2020,2,2020-05-31,S08000032,Under 5,All,All,118,158.5,-25.6
2020,2,2020-05-31,S92000003,Under 5,All,All,613,1037,-40.9
2020,2,2020-06-07,S08000015,Under 5,All,All,49,82.5,-40.6
2020,2,2020-06-07,S08000016,Under 5,All,All,6,23.5,-74.5
2020,2,2020-06-07,S08000017,Under 5,All,All,23,21.5,7
2020,2,2020-06-07,S08000019,Under 5,All,All,27,92.5,-70.8
2020,2,2020-06-07,S08000020,Under 5,All,All,52,67.5,-23
2020,2,2020-06-07,S08000022,Under 5,All,All,28,38,-26.3
