year,quarter,week_ending,hscp,age_group,sex,number_attendances,average20182019,percent_variation
2020,4,2020-10-18,S37000029,85 and over,All,18,20.5,-12.2
2020,4,2020-10-18,S37000029,All ages,All,266,385,-30.9
2020,4,2020-10-18,S37000029,All ages,Female,132,200.5,-34.2
2020,4,2020-10-18,S37000029,All ages,Male,132,183.5,-28.1
2020,4,2020-10-18,S37000030,Under 5,All,60,89.5,-33
2020,4,2020-10-18,S37000030,5 - 14,All,72,78,-7.7
2020,4,2020-10-18,S37000030,15 - 44,All,326,405.5,-19.6
2020,4,2020-10-18,S37000030,45 - 64,All,239,227.5,5.1
2020,4,2020-10-18,S37000030,65 - 74,All,57,96.5,-40.9
2020,4,2020-10-18,S37000030,75 - 84,All,89,76,17.1
2020,4,2020-10-18,S37000030,85 and over,All,36,39.5,-8.9
2020,4,2020-10-18,S37000030,All ages,All,888,1019,-12.9
2020,4,2020-10-18,S37000030,All ages,Female,449,486,-7.6
2020,4,2020-10-18,S37000030,All ages,Male,430,526.5,-18.3
2020,4,2020-10-18,S37000031,Under 5,All,6,8.5,-29.4
2020,4,2020-10-18,S37000031,5 - 14,All,6,6.5,-7.7
2020,4,2020-10-18,S37000031,15 - 44,All,36,31,16.1
2020,4,2020-10-18,S37000031,45 - 64,All,25,29.5,-15.3
2020,4,2020-10-18,S37000031,65 - 74,All,9,15,-40
2020,4,2020-10-18,S37000031,75 - 84,All,16,9.5,68.4
2020,4,2020-10-18,S37000031,85 and over,All,6,7.5,-20
2020,4,2020-10-18,S37000031,All ages,All,105,108,-2.8
2020,4,2020-10-18,S37000031,All ages,Female,49,48.5,1
2020,4,2020-10-18,S37000031,All ages,Male,55,59,-6.8
2020,4,2020-10-18,S37000032,Under 5,All,71,89.5,-20.7
2020,4,2020-10-18,S37000032,5 - 14,All,90,87,3.4
2020,4,2020-10-18,S37000032,15 - 44,All,424,516.5,-17.9
2020,4,2020-10-18,S37000032,45 - 64,All,268,289,-7.3
2020,4,2020-10-18,S37000032,65 - 74,All,100,131.5,-24
2020,4,2020-10-18,S37000032,75 - 84,All,78,131.5,-40.7
2020,4,2020-10-18,S37000032,85 and over,All,65,81.5,-20.2
2020,4,2020-10-18,S37000032,All ages,All,1108,1335.5,-17
2020,4,2020-10-18,S37000032,All ages,Female,520,676,-23.1
2020,4,2020-10-18,S37000032,All ages,Male,576,650.5,-11.5
2020,4,2020-10-18,S37000033,Under 5,All,23,33,-30.3
2020,4,2020-10-18,S37000033,5 - 14,All,41,37.5,9.3
2020,4,2020-10-18,S37000033,15 - 44,All,134,203,-34
2020,4,2020-10-18,S37000033,45 - 64,All,103,103,0
2020,4,2020-10-18,S37000033,65 - 74,All,40,41.5,-3.6
2020,4,2020-10-18,S37000033,75 - 84,All,42,44,-4.5
2020,4,2020-10-18,S37000033,85 and over,All,34,24,41.7
2020,4,2020-10-18,S37000033,All ages,All,426,488.5,-12.8
2020,4,2020-10-18,S37000033,All ages,Female,193,222.5,-13.3
2020,4,2020-10-18,S37000033,All ages,Male,224,263.5,-15
2020,4,2020-10-18,S37000034,Under 5,All,215,447,-51.9
2020,4,2020-10-18,S37000034,5 - 14,All,177,245.5,-27.9
2020,4,2020-10-18,S37000034,15 - 44,All,963,1306.5,-26.3
2020,4,2020-10-18,S37000034,45 - 64,All,602,745,-19.2
2020,4,2020-10-18,S37000034,65 - 74,All,186,252.5,-26.3
2020,4,2020-10-18,S37000034,75 - 84,All,174,208,-16.3
2020,4,2020-10-18,S37000034,85 and over,All,92,118,-22
2020,4,2020-10-18,S37000034,All ages,All,2458,3345,-26.5
2020,4,2020-10-18,S37000034,All ages,Female,1116,1583,-29.5
2020,4,2020-10-18,S37000034,All ages,Male,1293,1739.5,-25.7
2020,4,2020-10-18,S37000035,Under 5,All,121,155,-21.9
2020,4,2020-10-18,S37000035,5 - 14,All,119,147.5,-19.3
2020,4,2020-10-18,S37000035,15 - 44,All,652,801,-18.6
2020,4,2020-10-18,S37000035,45 - 64,All,505,594,-15
2020,4,2020-10-18,S37000035,65 - 74,All,211,229,-7.9
2020,4,2020-10-18,S37000035,75 - 84,All,177,223.5,-20.8
2020,4,2020-10-18,S37000035,85 and over,All,82,92,-10.9
2020,4,2020-10-18,S37000035,All ages,All,1877,2259,-16.9
2020,4,2020-10-18,S37000035,All ages,Female,944,1114,-15.3
2020,4,2020-10-18,S37000035,All ages,Male,923,1128,-18.2
2020,4,2020-10-25,S37000001,Under 5,All,44,67,-34.3
2020,4,2020-10-25,S37000001,5 - 14,All,49,62.5,-21.6
2020,4,2020-10-25,S37000001,15 - 44,All,267,384,-30.5
2020,4,2020-10-25,S37000001,45 - 64,All,139,164,-15.2
2020,4,2020-10-25,S37000001,65 - 74,All,53,71.5,-25.9
2020,4,2020-10-25,S37000001,75 - 84,All,58,51,13.7
2020,4,2020-10-25,S37000001,85 and over,All,38,43,-11.6
2020,4,2020-10-25,S37000001,All ages,All,664,864,-23.1
2020,4,2020-10-25,S37000001,All ages,Female,338,423.5,-20.2
2020,4,2020-10-25,S37000001,All ages,Male,310,419.5,-26.1
2020,4,2020-10-25,S37000002,Under 5,All,37,41.5,-10.8
2020,4,2020-10-25,S37000002,5 - 14,All,34,45,-24.4
2020,4,2020-10-25,S37000002,15 - 44,All,126,165.5,-23.9
2020,4,2020-10-25,S37000002,45 - 64,All,108,109.5,-1.4
2020,4,2020-10-25,S37000002,65 - 74,All,41,47.5,-13.7
2020,4,2020-10-25,S37000002,75 - 84,All,35,42.5,-17.6
2020,4,2020-10-25,S37000002,85 and over,All,29,29,0
