year,quarter,week_ending,hb,simd_quintile,admission_type,number_admissions,average20182019,percent_variation
2020,1,2020-02-09,S08000020,2,All,252,269.5,-6.5
2020,1,2020-02-09,S08000020,3,All,330,307.5,7.3
2020,1,2020-02-09,S08000020,4,All,376,388.5,-3.2
2020,1,2020-02-09,S08000020,5,All,313,292,7.2
2020,1,2020-02-09,S08000022,1,All,101,96,5.2
2020,1,2020-02-09,S08000022,2,All,162,157.5,2.9
2020,1,2020-02-09,S08000022,3,All,263,273.5,-3.8
2020,1,2020-02-09,S08000022,4,All,198,215.5,-8.1
2020,1,2020-02-09,S08000022,5,All,41,39.5,3.8
2020,1,2020-02-09,S08000024,1,All,400,396.5,0.9
2020,1,2020-02-09,S08000024,2,All,619,570,8.6
2020,1,2020-02-09,S08000024,3,All,459,395,16.2
2020,1,2020-02-09,S08000024,4,All,387,357,8.4
2020,1,2020-02-09,S08000024,5,All,498,500,-0.4
2020,1,2020-02-09,S08000025,2,All,6,7.5,-20
2020,1,2020-02-09,S08000025,3,All,9,7,28.6
2020,1,2020-02-09,S08000025,4,All,23,22.5,2.2
2020,1,2020-02-09,S08000026,2,All,6,3.5,71.4
2020,1,2020-02-09,S08000026,3,All,14,15,-6.7
2020,1,2020-02-09,S08000026,4,All,21,21,0
2020,1,2020-02-09,S08000028,2,All,8,13.5,-40.7
2020,1,2020-02-09,S08000028,3,All,50,60.5,-17.4
2020,1,2020-02-09,S08000029,1,All,261,253,3.2
2020,1,2020-02-09,S08000029,2,All,266,230,15.7
2020,1,2020-02-09,S08000029,3,All,170,185,-8.1
2020,1,2020-02-09,S08000029,4,All,155,150,3.3
2020,1,2020-02-09,S08000029,5,All,125,134.5,-7.1
2020,1,2020-02-09,S08000030,1,All,274,264.5,3.6
2020,1,2020-02-09,S08000030,2,All,232,249.5,-7
2020,1,2020-02-09,S08000030,3,All,282,248,13.7
2020,1,2020-02-09,S08000030,4,All,297,337.5,-12
2020,1,2020-02-09,S08000030,5,All,206,216.5,-4.8
2020,1,2020-02-09,S08000031,1,All,1672,1655.5,1
2020,1,2020-02-09,S08000031,2,All,801,792.5,1.1
2020,1,2020-02-09,S08000031,3,All,550,582.5,-5.6
2020,1,2020-02-09,S08000031,4,All,493,517.5,-4.7
2020,1,2020-02-09,S08000031,5,All,562,566.5,-0.8
2020,1,2020-02-09,S08000032,1,All,578,616,-6.2
2020,1,2020-02-09,S08000032,2,All,405,494,-18
2020,1,2020-02-09,S08000032,3,All,281,324,-13.3
2020,1,2020-02-09,S08000032,4,All,217,229,-5.2
2020,1,2020-02-09,S08000032,5,All,174,151,15.2
2020,1,2020-02-09,S92000003,1,All,3982,4179,-4.7
2020,1,2020-02-09,S92000003,2,All,3370,3596,-6.3
2020,1,2020-02-09,S92000003,3,All,2953,3189,-7.4
2020,1,2020-02-09,S92000003,4,All,2541,2737,-7.2
2020,1,2020-02-09,S92000003,5,All,2170,2259,-3.9
2020,1,2020-02-16,S08000015,1,All,379,444.5,-14.7
2020,1,2020-02-16,S08000015,2,All,244,266.5,-8.4
2020,1,2020-02-16,S08000015,3,All,156,169.5,-8
2020,1,2020-02-16,S08000015,4,All,111,134.5,-17.5
2020,1,2020-02-16,S08000015,5,All,102,114,-10.5
2020,1,2020-02-16,S08000016,1,All,16,23,-30.4
2020,1,2020-02-16,S08000016,2,All,41,43.5,-5.7
2020,1,2020-02-16,S08000016,3,All,108,106,1.9
2020,1,2020-02-16,S08000016,4,All,59,59,0
2020,1,2020-02-16,S08000016,5,All,23,14,64.3
2020,1,2020-02-16,S08000017,1,All,45,52,-13.5
2020,1,2020-02-16,S08000017,2,All,131,118,11
2020,1,2020-02-16,S08000017,3,All,182,170.5,6.7
2020,1,2020-02-16,S08000017,4,All,67,71.5,-6.3
2020,1,2020-02-16,S08000017,5,All,31,34.5,-10.1
2020,1,2020-02-16,S08000019,1,All,183,298,-38.6
2020,1,2020-02-16,S08000019,2,All,212,334.5,-36.6
2020,1,2020-02-16,S08000019,3,All,177,322,-45
2020,1,2020-02-16,S08000019,4,All,150,227.5,-34.1
2020,1,2020-02-16,S08000019,5,All,106,180,-41.1
2020,1,2020-02-16,S08000020,1,All,102,111.5,-8.5
2020,1,2020-02-16,S08000020,2,All,248,262.5,-5.5
2020,1,2020-02-16,S08000020,3,All,301,289.5,4
2020,1,2020-02-16,S08000020,4,All,425,389,9.3
2020,1,2020-02-16,S08000020,5,All,321,293.5,9.4
