date,country,sex,age_group,daily_positive,cumulative_positive,crude_rate_positive,daily_deaths,cumulative_deaths,crude_rate_deaths,cumulative_negative,crude_rate_negative
2020-03-07,S92000003,Total,0 to 59,5,24,0.5915189491863041,0,0,0,1370,33.765873349384854
2020-03-07,S92000003,Total,15 to 19,0,0,0,0,0,0,44,15.596200198497094
2020-03-07,S92000003,Total,20 to 24,0,2,0.5852145542859651,0,0,0,109,31.894193208585097
2020-03-07,S92000003,Total,25 to 44,2,11,0.7685294189568261,0,0,0,451,31.509706177229873
2020-03-07,S92000003,Total,45 to 64,3,11,0.7358105622261614,0,0,0,544,36.389176895548346
2020-03-07,S92000003,Total,60+,1,3,0.2129700159514542,0,0,0,389,27.615112068371896
2020-03-07,S92000003,Total,65 to 74,1,3,0.5117157316767389,0,0,0,172,29.33836861613303
2020-03-07,S92000003,Total,75 to 84,0,0,0,0,0,0,66,19.32616118018424
2020-03-07,S92000003,Total,85plus,0,0,0,0,0,0,29,22.60133581688242
2020-03-07,S92000003,Total,Total,6,27,0.4939626783754116,0,0,0,1759,32.18075375045738
2020-03-08,S92000003,Female,0 to 14,0,0,0,0,0,0,160,38.17622623231665
2020-03-08,S92000003,Female,0 to 59,0,9,0.44147056789302286,0,0,0,698,34.23849515436999
2020-03-08,S92000003,Female,15 to 19,0,0,0,0,0,0,24,17.402275347501686
